No;Autor;UO;Função;Eh;Subfunção;Localização;Subtítulo;Qtde;Unidade;Valor
645;Chico Vigilante;AR Ceilândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Implantação de PEC;10;PEC;400.000,00
646;Chico Vigilante;SE Cultura;Cultura;Não é evento;Patrimônio histórico;I-Plano Piloto;Apoio financeiro ao Memorial JK;1;entidade;250.000,00
647;Chico Vigilante;AR Águas Claras;Urbanismo;Não é evento;Infra-Estrutura urbana;XX-Águas Claras;Execução de obras de urbanização e infraestrutura;10.000;m2;400.000,00
648;Chico Vigilante;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de atividades culturais;50;evento;1.000.000,00
649;Chico Vigilante;AR Gama;Urbanismo;Não é evento;Infra-Estrutura urbana;II-Gama;Implantação de PEC;10.000;m2;240.000,00
650;Claudio Abrantes;AR Sobradinho;Desporto e Lazer;Não é evento;Lazer;V-Sobradinho;Construção de quadra poliesportiva;1;quadra;700.000,00
651;Chico Vigilante;AR Brazlândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IV-Brazlândia;Implantação de PEC;10.000;m2;240.000,00
652;Chico Vigilante;AR Gama;Urbanismo;Não é evento;Infra-Estrutura urbana;II-Gama;Execução de obras de urbanização no Condomínio Paraíso;30.000;m2;660.000,00
653;Chico Vigilante;AR Gama;Urbanismo;Não é evento;Infra-Estrutura urbana;II-Gama;Conclusão da construção de estacionamento em frente à Igreja Evangélica na EQ 40/42;1.000;m2;150.000,00
654;Chico Vigilante;AR Santa Maria;Urbanismo;Não é evento;Infra-Estrutura urbana;XIII-Santa Maria;Implantação de PEC;10.000;m2;240.000,00
655;Chico Vigilante;Jardim Zoológico;Gestão Ambiental;Não é evento;Preservação ambiental;XIX-Candangolândia;Reforma das instalações do Zoológico;20.000;m2;200.000,00
656;Chico Vigilante;AR Ceilândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Execução de obras de urbanização;50.000;m2;2.100.000,00
657;Chico Vigilante;AR Taguatinga;Urbanismo;Não é evento;Infra-Estrutura urbana;III-Taguatinga;Execução de obras de urbanização e infraestrutura;10.000;m2;300.000,00
658;Chico Vigilante;AR Planaltina;Urbanismo;Não é evento;Infra-Estrutura urbana;VI-Planaltina;Implantação de PEC;10.000;m2;240.000,00
659;Chico Vigilante;AR Samambaia;Urbanismo;Não é evento;Infra-Estrutura urbana;XII-Samambaia;Execução de obras de urbanização;20.000;m2;400.000,00
660;Chico Vigilante;SE Esporte;Desporto e Lazer;Não é evento;Desporto Comunitário;IX-Ceilândia;Apoio a eventos esportivos;15;evento;200.000,00
661;Chico Vigilante;AR Santa Maria;Urbanismo;Não é evento;Infra-Estrutura urbana;XIII-Santa Maria;Execução de obras de urbanização no Condomínio Porto Rico;100.000;m2;500.000,00
662;Chico Vigilante;AGEFIS;Administração;Não é evento;Tecnologia da Informação;I-Plano Piloto;Melhoria no Sistema de TI;1;sistema;200.000,00
663;Chico Vigilante;AR Ceilândia;Cultura;Evento;Difusão cultural;IX-Ceilândia;Realização do Aniversário do Setor Habitacional Por do Sol/Dia das Crianças;1;evento;50.000,00
664;Chico Vigilante;AR Riacho Fundo II;Urbanismo;Não é evento;Infra-Estrutura urbana;XXI-Riacho Fundo II;Execução de obras de urbanização;20.000;m2;300.000,00
665;Chico Vigilante;AR Set. Ind. & Abast.;Urbanismo;Não é evento;Energia Elétrica;XXIX-S.IA;Ampliação/manutenção de iluminação pública;0;Unidade não informada;200.000,00
666;Chico Vigilante;AR Taguatinga;Urbanismo;Não é evento;Energia Elétrica;III-Taguatinga;Ampliação da rede de iluminação pública;10.000;m;50.000,00
667;Chico Vigilante;AR Sobradinho;Urbanismo;Não é evento;Energia Elétrica;V-Sobradinho;Ampliação da rede de iluminação no Condomínio Nova Petrópolis;10.000;m;50.000,00
668;Chico Vigilante;AR Samambaia;Cultura;Evento;Difusão cultural;XII-Samambaia;Apoio à Festa dos Estados Gospel;1;evento;50.000,00
669;Chico Vigilante;SE Educação;Educação;Não é evento;Educação Básica;IV-Brazlândia;Ampliação das dependências administrativa e pedagógica da EC Chapadinha;10.000;m2;250.000,00
670;Chico Vigilante;DF;Urbanismo;Não é evento;Infra-Estrutura urbana;XXIX-S.IA;Construção de abrigo para passageiro de ônibus ;10.000;m2;40.000,00
671;Chico Vigilante;AR Cruzeiro;Urbanismo;Não é evento;Infra-Estrutura urbana;XI-Cruzeiro;Execução de obras de urbanização;10.000;m2;600.000,00
672;Chico Vigilante;AR Riacho Fundo II;Cultura;Evento;Difusão cultural;XXI-Riacho Fundo II;Realização da Festa de Aniversário do CAUB I;1;evento;50.000,00
673;Chico Vigilante;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Reforma das feiras permanentes;10.000;m2;800.000,00
674;Chico Vigilante;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;XI-Cruzeiro;Implantação de iluminação pública;10;m2;250.000,00
675;Chico Vigilante;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;IX-Ceilândia;Implantação de iluminação pública;35;m2;800.000,00
676;Chico Vigilante;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;XV-Recanto das Emas;Execução de obras de urbanização;400;m2;400.000,00
677;Chico Vigilante;AR Cruzeiro;Urbanismo;Não é evento;Infra-Estrutura urbana;XI-Cruzeiro;Implantação de PEC;10.000;m2;240.000,00
678;Chico Vigilante;SE Cultura;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à Festa Tradição e Cultura;1;evento;50.000,00
679;Chico Vigilante;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio ao evento Maior São João do Cerrado;1;evento;200.000,00
680;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à radio Gazeta FM;1;evento;70.000,00
681;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de eventos de quadrilhas juninas;1;evento;250.000,00
682;Wasny de Roure;SE Esporte;Desporto e Lazer;Não é evento;Desporto Comunitário;DF;Apoio ao futebol amador - Programa Boleiros;1;projeto;200.000,00
683;Wasny de Roure;SE Justiça;Assistência Social;Não é evento;Ass. Comunitária;DF;Apoio a entidades de recuperação de dependentes químicos;2.000;pessoa;300.000,00
684;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;I-Plano Piloto;Apoio às atividades do Açougue Cultural T-Bone;1;evento;80.000,00
685;Wasny de Roure;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio a Bibliotecas;1;evento;100.000,00
686;Wasny de Roure;SEDHAB;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Apoio à Realização de Projetos Urbanísticos;5;m2;130.000,00
687;Wasny de Roure;SE Criança;Assistência Social;Não é evento;Ass à Criança;DF;Apoio às atividades dos Conselhos Tutelares;40;conselho;400.000,00
688;Wasny de Roure;SE Trabalho;Assistência Social;Não é evento;Ass. Comunitária;DF;Capacitação de pessoal em costura industrial;0;Unidade não informada;300.000,00
689;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Ferrock;1;evento;200.000,00
690;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da Conferência das Mulheres;1;evento;70.000,00
691;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;II-Gama;Apoio à realização do Festival de Música Popular;1;evento;100.000,00
692;Wasny de Roure;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio às atividades da AGAP;1;evento;100.000,00
693;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da FEICOTUR;1;evento;100.000,00
694;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da Festa Genuína;1;evento;180.000,00
695;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da Roda do Negro d´Água;1;evento;50.000,00
696;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio ao projeto Capoterapia;1;evento;60.000,00
697;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio ao projeto Amor em Ação;1;evento;150.000,00
698;Wasny de Roure;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio às atividades do Centro de Reabilitação do Preso;1;evento;100.000,00
699;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;XXVIII-Itapoã;Apoio à realização do 4o Arraiá da Prefeitura do Itapoã;1;evento;70.000,00
700;Wasny de Roure;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio às atividades do IACC;1;evento;100.000,00
701;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;XXVIII-Itapoã;Apoio à realização da Marcha para Jesus no Itapoã;1;evento;50.000,00
702;Wasny de Roure;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio às atividades do CIEC;1;evento;100.000,00
703;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização da Marcha pela Família e contra as Drogas;1;evento;120.000,00
704;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à realização da Cruzada Evangelista em Planaltina;1;evento;70.000,00
705;Wasny de Roure;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio ao projeto Núcleo de Ensinamento da Viola;1;evento;150.000,00
706;Wasny de Roure;AR Samambaia;Urbanismo;Não é evento;Infra-Estrutura urbana;XII-Samambaia;Execução de obras de urbanização;1.500;m2;1.500.000,00
707;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Rockarte;1;evento;100.000,00
708;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Dia do Evangélico CPDF;1;evento;80.000,00
709;Wasny de Roure;SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização da Feira Cultural;1;evento;50.000,00
710;Wasny de Roure;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio às atividades do ICP;1;evento;350.000,00
711;Wasny de Roure;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;XXI-Riacho Fundo II;Reforma da Feira;1.000;m2;1.000.000,00
712;Wasny de Roure;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;XIII-Santa Maria;Expansão da rede elétrica no Condomínio Santa Barbara;50;m2;50.000,00
713;Wasny de Roure;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Execução de obras em escolas;3.000;m2;3.000.000,00
714;Wasny de Roure;SEDEST;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Reforma dos bancos de leite;100;m2;500.000,00
715;Wasny de Roure;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;VI-Planaltina;Construção de Brinquedoteca no HRT;70;m2;70.000,00
716;Wasny de Roure;AR Lago Norte;Urbanismo;Não é evento;Infra-Estrutura urbana;XVIII-Lago Norte;Implantação de iluminação pública;500;m2;500.000,00
717;Wasny de Roure;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Manutenção e reforma de escolas;1.000;m2;1.000.000,00
718;Wasny de Roure;AR Santa Maria;Urbanismo;Não é evento;Infra-Estrutura urbana;XIII-Santa Maria;Execução de obras de urbanização;1.500;m2;1.500.000,00
719;Wasny de Roure;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;VI-Planaltina;Construção do Complexo Cultural da Planaltina - Casa da Cultura;300;m2;200.000,00
720;Chico Vigilante;SE Cultura;Cultura;Evento;Difusão cultural;XII-Samambaia;Apoio ao evento Festa das Tribos;1;evento;150.000,00
721;Chico Vigilante;SE Cultura;Cultura;Não é evento;Difusão cultural;IX-Ceilândia;Apoio às atividades da Casa do Cantador;1;evento;250.000,00
722;Chico Vigilante;SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio ao evento Chameb;1;evento;100.000,00
723;Chico Vigilante;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio à TV Comunitária;1;evento;100.000,00
724;Chico Vigilante;AR Brasília;Urbanismo;Não é evento;Infra-Estrutura urbana;I-Plano Piloto;Manutenção das atividades do Parque Sarah Kubitschek;1;parque;500.000,00
725;Wellington Luiz;SE Educação;Educação;Não é evento;Educação Básica;DF;Implementação da Escola Bilingue;1;escola;200.000,00
726;Wellington Luiz;SE Segurança;Segurança Pública;Evento;Formação de RH;DF;1a. Conferência Distrital de Segurança Pública;1;evento;100.000,00
727;Wellington Luiz;AR Set. Ind. & Abast.;Urbanismo;Não é evento;Infra-Estrutura urbana;XXIX-S.IA;Implementação de obras;100;m2;150.000,00
728;Wellington Luiz;SE Educação;Educação;Não é evento;Educação Especial;DF;Reforma e ampliação do CEEDV - Centro de Ensino Especial de Deficientes Visuais;1;escola;700.000,00
729;Wellington Luiz;AR SCIA (Estrutural);Urbanismo;Não é evento;Infra-Estrutura urbana;XXV-SCIA (Estrutural);Implementação de obras na Estrutural;100;m2;150.000,00
730;Wellington Luiz;AR Guará;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Implementação de obras;1.000;m2;2.000.000,00
731;Wellington Luiz;DETRAN-DF;Segurança Pública;Não é evento;Formação de RH;DF;Capacitação de Servidores - Copa 2014;100;pessoa;250.000,00
732;Wellington Luiz;AR Cruzeiro;Urbanismo;Não é evento;Infra-Estrutura urbana;XI-Cruzeiro;Manutenção das atividades da ABRACI;100;m2;162.000,00
733;Wellington Luiz;DETRAN-DF;Segurança Pública;Não é evento;Formação de RH;DF;Capacitação de Servidores do DETRAN - Pós Graduação;20;pessoa;229.500,00
734;Wellington Luiz;SE Criança;Direitos da Cidadania;Não é evento;Ass à Criança;DF;Manutenção e funcionamento dos Conselhos Tutelares;10;conselho;500.000,00
735;Wellington Luiz;AR Cruzeiro;Urbanismo;Não é evento;Infra-Estrutura urbana;XI-Cruzeiro;Implementação de obras;100;m2;200.000,00
736;Wellington Luiz;PCDF;Segurança Pública;Não é evento;Formação de RH;DF;Capacitação de Servidores da PCDF;100;pessoa;350.000,00
737;Wellington Luiz;SE Segurança;Segurança Pública;Não é evento;Formação de RH;DF;Capacitação de servidores - Agentes de Segurança Pública;50;pessoa;200.000,00
738;Wellington Luiz;PCDF;Segurança Pública;Não é evento;Gestão Man. Serv. Estado;DF;Ampliação, construção e reforma do IP-DNA PCDF;200;m2;600.000,00
739;Wellington Luiz;AR Águas Claras;Urbanismo;Não é evento;Infra-Estrutura urbana;XX-Águas Claras;Implementação de obras;100;m2;150.000,00
740;Wellington Luiz;AR Recanto das Emas;Urbanismo;Não é evento;Infra-Estrutura urbana;XV-Recanto das Emas;Implementação de obras;100;m2;250.000,00
741;Wellington Luiz;PCDF;Segurança Pública;Não é evento;Gestão Man. Serv. Estado;DF;Ampliação, construção e reforma do Instituto de Criminalística PCDF;200;m2;800.000,00
742;Wellington Luiz;AR Lago Norte;Urbanismo;Não é evento;Infra-Estrutura urbana;XVIII-Lago Norte;Implementação de obras;100;m2;200.000,00
743;Wellington Luiz;AR Vicente Pires;Urbanismo;Não é evento;Infra-Estrutura urbana;XXX-Vicente Pires;Implementação de obras;100;m2;650.000,00
744;Wellington Luiz;AR Jardim Botânico;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVII-Jardim Botânico;Implementação de obras;100;m2;500.000,00
745;Wellington Luiz;PCDF;Segurança Pública;Não é evento;Gestão Man. Serv. Estado;DF;Aquisição de bens materiais para o IML;200;m2;200.000,00
746;Wellington Luiz;AGEFIS;Administração;Não é evento;Tecnologia da Informação;DF;Aquisição de SGBD - Sistema de Gerenciamento de Banco de Dados;1;ação;200.000,00
747;Wellington Luiz;PCDF;Segurança Pública;Não é evento;Gestão Man. Serv. Estado;DF;Execução de reforma e ampliação do Instituto de Identificação da PCDF;200;m2;600.000,00
748;Wellington Luiz;SEDEST;Direitos da Cidadania;Não é evento;Ass. Comunitária;DF;Apoio às atividades da Pestalozzi;100;família;200.000,00
749;Wellington Luiz;SE Justiça;Direitos da Cidadania;Não é evento;Ass. Comunitária;DF;Atividades da Frente Parlamentar do Combate e à Dependência Química;100;ação;350.000,00
750;Wellington Luiz;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Implementação de diversas obras;200;m2;3.608.500,00
