No;Autor;UO;Função;Eh;Subfunção;Localização;Subtítulo;Qtde;Unidade;Valor
513;Dr Charles;SE Cultura;Cultura;Evento;Difusão cultural;V-Sobradinho;Apoio na realização de eventos culturais do GRES Bola Preta;1;evento;50.000,00
514;Dr Charles;AR Riacho Fundo;Urbanismo;Não é evento;Infra-Estrutura urbana;XVII-Riacho Fundo I;Construção de PEC;3;PEC;225.000,00
515;Dr Charles;SE Cultura;Cultura;Evento;Difusão cultural;XIV-São Sebastião;Apoio à realização de eventos culturais;2;evento;140.000,00
516;Dr Michel;AR Sobradinho II;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVI-Sobradinho II;Manutenção de áreas urbanizadas e ajardinadas;5.000;m2;200.000,00
517;Dr Michel;AR Fercal;Cultura;Evento;Difusão cultural;XXXI-Fercal;Promoção de atividades culturais;10;evento;300.000,00
518;Dr Michel;AR Fercal;Cultura;Evento;Difusão cultural;XXXI-Fercal;Promoção de eventos - Aniversário RA Fercal;1;evento;200.000,00
519;Dr Michel;AR Sobradinho II;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVI-Sobradinho II;Construir Praça Pública;200;m2;300.000,00
520;Dr Michel;AR Fercal;Urbanismo;Não é evento;Infra-Estrutura urbana;XXXI-Fercal;Manutenção de áreas urbanizadas e ajardinadas;5.000;m2;200.000,00
521;Dr Michel;AR Sobradinho II;Cultura;Evento;Difusão cultural;XXVI-Sobradinho II;Apoio a eventos culturais;10;evento;200.000,00
522;Dr Michel;AR Fercal;Urbanismo;Não é evento;Infra-Estrutura urbana;XXXI-Fercal;Construção de praças públicas e parques;600;m2;300.000,00
523;Dr Michel;AR Sobradinho II;Cultura;Evento;Difusão cultural;XXVI-Sobradinho II;Promoção de eventos - Aniversário RA Sobradinho II;1;evento;250.000,00
524;Dr Michel;AR Sobradinho II;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVI-Sobradinho II;Executar Obras de Urbanização e Infra-Estrutura;1.000;m2;1.600.000,00
525;Dr Michel;AR Sobradinho II;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVI-Sobradinho II;Reforma e construção de Prédios Próprios;200;m2;200.000,00
526;Dr Michel;AR Fercal;Energia;Não é evento;Energia Elétrica;XXXI-Fercal;Ampliação da rede de iluminação pública;1.000;m;150.000,00
527;Dr Michel;AR Fercal;Desporto e Lazer;Não é evento;Desporto Comunitário;XXXI-Fercal;Construção de Quadra de Esportes ;600;m2;650.000,00
528;Dr Michel;AR Sobradinho;Assistência Social;Não é evento;Ass. Comunitária;V-Sobradinho;Reformar o Lar São José - Casa do Candango em Sobradinho;1;centro;100.000,00
529;Dr Michel;PCDF;Desporto e Lazer;Evento;Lazer;DF;Apoio ao Evento das Olimpíadas da PCDF;1;evento;50.000,00
530;Dr Michel;AR Sobradinho;Urbanismo;Não é evento;Infra-Estrutura urbana;V-Sobradinho;Executar Obras de Urbanização e Infra-Estrutura;1.000;m2;800.000,00
531;Dr Michel;AR Fercal;Urbanismo;Não é evento;Infra-Estrutura urbana;XXXI-Fercal;Implantar PEC;200;m2;300.000,00
532;Prof. Israel Batista;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à Realização de Projetos Culturais;20;projeto;600.000,00
533;Prof. Israel Batista;AGEFIS;Administração;Não é evento;Normatização e Fiscalização;DF;Apoio ao Serviço de Atendimento ao Público da Agefis;0;Unidade não informada;200.000,00
534;Prof. Israel Batista;SE Educação;Educação;Não é evento;Saúde Escolar;DF;Apoio a medidas de combate ao crack em escolas públicas;0;Unidade não informada;500.000,00
535;Prof. Israel Batista;SE Obras;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Execução de obras de urbanização;1.000;m2;500.000,00
536;Prof. Israel Batista;SE Trabalho;Trabalho;Não é evento;Trabalho, emprego, renda;DF;Fomento à cadeia produtiva da economia criativa para a Copa de 2014;1.000;pessoa;866.000,00
537;Prof. Israel Batista;SE Esporte;Desporto e Lazer;Não é evento;Desporto Comunitário;DF;Apoio a eventos esportivos;5;evento;200.000,00
538;Prof. Israel Batista;SE Cultura;Cultura;Não é evento;Difusão cultural;XII-Samambaia;Apoio à realização do Projeto Social Dançarte em Samambaia;1;projeto;100.000,00
539;Prof. Israel Batista;SE Educação;Educação;Não é evento;Difusão cultural;DF;Implantação de bibliotecas públicas;10;biblioteca;850.000,00
540;Prof. Israel Batista;AR Ceilândia;Desporto e Lazer;Não é evento;Desporto Comunitário;IX-Ceilândia;Reforma de espaços esportivos no P Sul;1.000;m2;150.000,00
541;Prof. Israel Batista;AR Ceilândia;Desporto e Lazer;Não é evento;Desporto Comunitário;IX-Ceilândia;Reforma de espaços esportivos no P Norte;100;m2;150.000,00
542;Prof. Israel Batista;SE Educação;Educação;Não é evento;Educação Básica;DF;Padronização de Escolas Públicas de Ensino Médio;6.000;m2;6.000.000,00
